Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Death_Count,Crash_Non.Suspected_Serious_Injury_Count,Crash_Not_Injured_Count,Crash_Possible_Injury_Count,Crash_Severity,Crash_Suspected_Serious_Injury_Count,Crash_Total_Injury_Count,Crash_Unknown_Injury_Count,Latitude,Longitude,Street_Name,Street_Number,Driver_Alcohol_Result,Driver_Blood_Alcohol_Content_Test_Result,Driver_Drug_Test_Result,Unit_Death_Count,Unit_Description,Unit_Non.Suspected_Serious_Injury_Count,Unit_Not_Injured_Count,Unit_Possible_Injury_Count,Unit_Suspected_Serious_Injury_Count,Unit_Total_Injury_Count,Unit_Unknown_Injury_Count,Person_Age,Person_Death_Count,Person_Ethnicity,Person_Gender,Person_Injury_Severity,Person_Not_Injured_Count,Person_Possible_Injury_Count,Person_Suspected_Serious_Injury_Count,Person_Total_Injury_Count,Person_Type,Crash_Month,Crash_Year
13112879,FALSE,2/5/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.42967497,-98.48604231,4TH ST,300,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,54,0,W - WHITE,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13175424,TRUE,2/6/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.49599212,-98.7095934,FM0471,11001,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,1,0,1,0,59,0,W - WHITE,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,3 - PEDALCYCLIST,February,2013
13115174,FALSE,2/7/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.42970847,-98.68935056,FILLMORE DR,953,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,12,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,February,2013
13116828,FALSE,2/8/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.39811531,-98.51376437,SL0353,1600,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,73,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13117212,TRUE,2/8/13,0,1,2,0,B - SUSPECTED MINOR INJURY,0,1,0,29.42650497,-98.48866231,E HOUSTON ST,398,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,1,0,0,0,0,69,0,W - WHITE,2 - FEMALE,N - NOT INJURED,1,0,0,0,4 - PEDESTRIAN,February,2013
13117212,TRUE,2/8/13,0,1,2,0,B - SUSPECTED MINOR INJURY,0,1,0,29.42650497,-98.48866231,E HOUSTON ST,398,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,1,0,W - WHITE,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,February,2013
13117344,FALSE,2/8/13,0,0,3,1,C - POSSIBLE INJURY,0,1,0,29.50845496,-98.5259423,WEST AVE,4700,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,50,0,H - HISPANIC,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13197780,TRUE,2/11/13,0,0,1,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.42454497,-98.49145231,N ST MARYS ST,100,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,29,0,H - HISPANIC,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,February,2013
13126309,FALSE,2/13/13,0,0,0,1,C - POSSIBLE INJURY,0,1,1,29.55066644,-98.40757839,THOUSAND OAKS DR,4376,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,22,0,W - WHITE,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13127917,TRUE,2/14/13,0,1,2,0,B - SUSPECTED MINOR INJURY,0,1,0,29.45009497,-98.49396231,N MAIN AVE,2198,No Data,No Data,No Data,0,3 - PEDALCYCLIST,1,0,0,0,1,0,62,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,3 - PEDALCYCLIST,February,2013
13127310,FALSE,2/15/13,0,0,3,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.51728324,-98.4885922,E RECTOR DR,464,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,22,0,H - HISPANIC,1 - MALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,February,2013
13128282,TRUE,2/16/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.49327365,-98.43467239,SL0368,1462,No Data,No Data,No Data,0,3 - PEDALCYCLIST,1,0,0,0,1,0,51,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,3 - PEDALCYCLIST,February,2013
13131222,FALSE,2/19/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.42734567,-98.49132231,N ST MARYS ST,379,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,25,0,W - WHITE,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13131212,FALSE,2/20/13,0,0,0,1,C - POSSIBLE INJURY,0,1,1,29.53987031,-98.4454204,WETMORE RD,10884,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,21,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13193626,FALSE,2/21/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.5523077,-98.51126727,SIR WINSTON ST,11311,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,26,0,B - BLACK,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,February,2013
13175427,TRUE,2/25/13,0,0,2,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.42275497,-98.49501231,S FLORES ST,198,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,31,0,W - WHITE,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,February,2013
13172992,FALSE,3/8/13,0,0,1,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.43029096,-98.50685416,W MARTIN ST,1360,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,53,0,H - HISPANIC,1 - MALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,March,2013
13180038,TRUE,3/10/13,1,1,4,0,K - FATAL INJURY,0,1,0,29.427609,-98.49132231,N ST MARYS ST,404,No Data,No Data,No Data,1,4 - PEDESTRIAN,0,0,0,0,0,0,36,1,H - HISPANIC,2 - FEMALE,K - FATAL INJURY,0,0,0,0,4 - PEDESTRIAN,March,2013
13180038,TRUE,3/10/13,1,1,4,0,K - FATAL INJURY,0,1,0,29.427609,-98.49132231,N ST MARYS ST,404,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,36,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,March,2013
13173711,TRUE,3/16/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.42643497,-98.49450231,W HOUSTON ST,198,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,48,0,H - HISPANIC,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,March,2013
13174081,FALSE,3/17/13,0,1,0,0,B - SUSPECTED MINOR INJURY,0,1,0,29.36804949,-98.55635549,CRITTENDON ST,592,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,48,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,March,2013
13175513,FALSE,3/17/13,0,0,2,1,C - POSSIBLE INJURY,0,1,0,29.42061714,-98.49092231,S ST MARYS ST,510,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,1,0,1,0,23,0,B - BLACK,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,3 - PEDALCYCLIST,March,2013
13176061,TRUE,3/18/13,0,0,1,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.59252243,-98.45119914,HENDERSON PASS,16600,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,0,1,1,0,54,0,W - WHITE,1 - MALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,3 - PEDALCYCLIST,March,2013
13178393,TRUE,3/18/13,0,0,1,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.45437496,-98.47147232,E MULBERRY AVE,1001,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,0,1,1,0,42,0,H - HISPANIC,1 - MALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,3 - PEDALCYCLIST,March,2013
13178397,TRUE,3/18/13,0,0,1,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.42289497,-98.48734232,E MARKET ST,101,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,45,0,W - WHITE,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,March,2013
13183821,TRUE,3/18/13,1,0,0,0,K - FATAL INJURY,0,0,1,29.34896,-98.50388231,PLEASANTON RD,3016,No Data,No Data,No Data,1,4 - PEDESTRIAN,0,0,0,0,0,0,63,1,H - HISPANIC,1 - MALE,K - FATAL INJURY,0,0,0,0,4 - PEDESTRIAN,March,2013
13178790,FALSE,3/19/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.50004401,-98.53491482,SAVANNAH DR,294,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,7,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,March,2013
13184005,FALSE,3/20/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.41783581,-98.66406637,MARBACH RD,9086,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,51,0,W - WHITE,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,March,2013
13184136,FALSE,3/20/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.40954087,-98.63937905,HACKAMORE LN,2215,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,10,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,March,2013
13183737,FALSE,3/22/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.49659495,-98.41999729,EISENHAUER RD,3900,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,1,0,1,0,36,0,W - WHITE,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,3 - PEDALCYCLIST,March,2013
13183984,FALSE,3/22/13,0,0,2,0,N - NOT INJURED,0,0,0,29.44912497,-98.49181083,E ASHBY PL,301,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,1,0,0,0,0,60,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,4 - PEDESTRIAN,March,2013
13184284,FALSE,3/23/13,0,2,1,0,B - SUSPECTED MINOR INJURY,0,2,0,29.37935947,-98.49616948,MORRILL AVE,276,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,15,0,H - HISPANIC,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,March,2013
13184284,FALSE,3/23/13,0,2,1,0,B - SUSPECTED MINOR INJURY,0,2,0,29.37935947,-98.49616948,MORRILL AVE,276,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,4,0,H - HISPANIC,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,March,2013
13184446,FALSE,3/23/13,0,0,2,0,N - NOT INJURED,0,0,0,29.4733753,-98.53492264,FREDERICKSBURG RD,3333,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,1,0,0,0,0,18,0,B - BLACK,1 - MALE,N - NOT INJURED,1,0,0,0,3 - PEDALCYCLIST,March,2013
13186356,FALSE,3/25/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.48862489,-98.42808632,CORINNE DR,403,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,56,0,W - WHITE,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,March,2013
13196149,TRUE,3/25/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.40260498,-98.53025231,S ZARZAMORA ST,2100,No Data,No Data,No Data,0,3 - PEDALCYCLIST,1,0,0,0,1,0,52,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,3 - PEDALCYCLIST,March,2013
13191053,TRUE,3/26/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.40088498,-98.49603231,HELENA ST,499,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,21,0,H - HISPANIC,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,March,2013
13191281,TRUE,3/26/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.39653498,-98.44664233,E HIGHLAND BLVD,1800,No Data,No Data,No Data,0,3 - PEDALCYCLIST,1,0,0,0,1,0,12,0,W - WHITE,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,3 - PEDALCYCLIST,March,2013
13195010,FALSE,3/28/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.41515775,-98.63765591,WHITE MAGNOLIA,1803,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,2,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,March,2013
13195129,TRUE,3/28/13,0,0,6,2,C - POSSIBLE INJURY,0,2,0,29.54256752,-98.58097649,SL0345,10698,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,37,0,W - WHITE,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,March,2013
13195973,FALSE,3/30/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.42374701,-98.48776746,E COMMERCE ST,497,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,17,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,March,2013
13249276,TRUE,4/6/13,0,0,2,0,N - NOT INJURED,0,0,0,29.37536498,-98.45670232,E SOUTHCROSS BLVD,2399,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,1,0,0,0,0,13,0,H - HISPANIC,2 - FEMALE,N - NOT INJURED,1,0,0,0,4 - PEDESTRIAN,April,2013
13239537,TRUE,4/26/13,0,0,2,0,N - NOT INJURED,0,0,0,29.50719495,-98.45902232,N NEW BRAUNFELS AVE,8100,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,1,0,0,0,0,48,0,W - WHITE,1 - MALE,N - NOT INJURED,1,0,0,0,3 - PEDALCYCLIST,April,2013
13239777,TRUE,4/26/13,0,0,3,1,A - SUSPECTED SERIOUS INJURY,1,2,0,29.41994497,-98.5394523,CASTROVILLE RD,150,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,0,1,1,0,21,0,H - HISPANIC,1 - MALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,3 - PEDALCYCLIST,April,2013
13239777,TRUE,4/26/13,0,0,3,1,A - SUSPECTED SERIOUS INJURY,1,2,0,29.41994497,-98.5394523,CASTROVILLE RD,150,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,1,0,0,0,0,50,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,4 - PEDESTRIAN,April,2013
13239777,TRUE,4/26/13,0,0,3,1,A - SUSPECTED SERIOUS INJURY,1,2,0,29.41994497,-98.5394523,CASTROVILLE RD,150,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,1,0,0,0,0,20,0,H - HISPANIC,2 - FEMALE,N - NOT INJURED,1,0,0,0,3 - PEDALCYCLIST,April,2013
13240048,TRUE,4/26/13,0,0,1,0,A - SUSPECTED SERIOUS INJURY,2,2,0,29.50433496,-98.50682231,BLANCO RD,5524,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,60,0,W - WHITE,1 - MALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,April,2013
13240048,TRUE,4/26/13,0,0,1,0,A - SUSPECTED SERIOUS INJURY,2,2,0,29.50433496,-98.50682231,BLANCO RD,5524,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,53,0,H - HISPANIC,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,April,2013
13240157,TRUE,4/26/13,0,1,0,0,B - SUSPECTED MINOR INJURY,0,1,1,29.45018497,-98.57799229,CULEBRA RD,3810,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,61,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,April,2013
13241620,FALSE,4/27/13,0,0,2,0,A - SUSPECTED SERIOUS INJURY,1,1,0,29.42269497,-98.47998232,CHESTNUT ST,200,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,44,0,H - HISPANIC,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,April,2013
13242080,TRUE,4/27/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.44063497,-98.49898231,SAN PEDRO AVE,800,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,24,0,B - BLACK,2 - FEMALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,April,2013
13242280,TRUE,4/27/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.57354494,-98.46989231,HEIMER RD,700,No Data,No Data,No Data,0,3 - PEDALCYCLIST,1,0,0,0,1,0,31,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,3 - PEDALCYCLIST,April,2013
13242391,FALSE,4/27/13,0,0,3,1,C - POSSIBLE INJURY,0,1,0,29.42367542,-98.50167865,W NUEVA,490,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,60,0,H - HISPANIC,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,April,2013
13242391,FALSE,4/27/13,0,0,3,1,C - POSSIBLE INJURY,0,1,0,29.42367542,-98.50167865,W NUEVA,490,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,1,0,0,0,0,4,0,H - HISPANIC,2 - FEMALE,N - NOT INJURED,1,0,0,0,4 - PEDESTRIAN,April,2013
13244794,FALSE,4/27/13,0,1,3,0,B - SUSPECTED MINOR INJURY,0,1,0,29.37485446,-98.53437842,SL0353,5243,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,62,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,April,2013
13244654,TRUE,4/28/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.45581496,-98.45801232,VICTOR ST,300,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,1,0,1,0,11,0,H - HISPANIC,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,3 - PEDALCYCLIST,April,2013
13249221,FALSE,4/28/13,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.42428013,-98.48980616,NAVARRO ST,317,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,1,0,1,0,26,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,3 - PEDALCYCLIST,April,2013
13242303,FALSE,4/29/13,0,0,2,0,N - NOT INJURED,0,0,0,29.38112525,-98.45964958,ADA ST,960,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,1,0,0,0,0,17,0,W - WHITE,1 - MALE,N - NOT INJURED,1,0,0,0,4 - PEDESTRIAN,April,2013
13244815,FALSE,4/29/13,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.3566301,-98.53770606,SL0013,2605,No Data,No Data,No Data,0,4 - PEDESTRIAN,1,0,0,0,1,0,51,0,W - WHITE,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,4 - PEDESTRIAN,April,2013
13246996,FALSE,5/1/13,0,0,0,1,C - POSSIBLE INJURY,0,1,1,29.46633695,-98.60368297,INGRAM RD,6040,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,1,0,1,0,71,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,4 - PEDESTRIAN,May,2013
13247184,FALSE,5/1/13,0,0,0,0,A - SUSPECTED SERIOUS INJURY,1,1,1,29.52887868,-98.54046337,VANCE JACKSON RD,5292,No Data,No Data,No Data,0,4 - PEDESTRIAN,0,0,0,1,1,0,32,0,W - WHITE,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,0,0,1,1,4 - PEDESTRIAN,May,2013
13251334,TRUE,5/1/13,0,0,2,1,C - POSSIBLE INJURY,0,1,0,29.46405496,-98.46089232,N NEW BRAUNFELS AVE,3900,No Data,No Data,No Data,0,3 - PEDALCYCLIST,0,0,1,0,1,0,51,0,W - WHITE,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,3 - PEDALCYCLIST,May,2013
